08:31:48 During your absence you trained for 12 hours.
08:31:48 Your Distance Fighting skill changed from level 133 and 5.42% to 5.72%.
08:31:48 Your Shielding skill changed from level 113 and 16.59% to 17.35%.
08:31:48 Your last visit in Tibia: 03. Jun 2026 22:37:41 CEST.
08:31:48 Today's boosted creature: Rotworm
08:31:48 Today's boosted boss: Mitmah Vanguard
08:31:48 Due to your long-term loyalty to Tibia, you currently benefit from a 30% bonus on all of your skills.
08:31:54 Poachers have slaughtered nearly all wild animals north of the Green Claw Swamp. But vengeful spirits show up there now!
08:31:54 A sandstorm travels through Darama, leading to isles full of deadly creatures inside a nightmare. Avoid the northernmost coast!
08:31:54 Nomads travel the eternal sands of Ankrahmun's desert. There must be a camp somewhere.
08:31:54 The river south of the outlaw camp is flooding. A small island there should now be reachable safely.
08:31:54 Bibby Bloodbath and her crew are roaming the lands, destroying everything in their path.
08:31:54 Adventurers have told of a Spirit Gate in the Daramian mountains. Fight the restless undead!
08:34:14 Bought 1201x great mana potion for 189758 gold.
08:34:22 Bought 1001x spectral bolt for 70070 gold.
08:50:53 The dark rot has left your body.
08:51:05 Using one of 1414 great mana potions...
08:51:05 You gained 235 mana.
08:51:05 Using one of 1413 great mana potions...
08:51:06 Using one of 1413 great mana potions...
08:51:06 You gained 172 mana.
08:51:06 Using one of 1412 great mana potions...
08:51:06 Using one of 1412 great mana potions...
08:51:07 You gained 155 mana.
08:51:12 Using one of 1411 great mana potions...
08:51:12 You gained 250 mana.
08:51:12 Using one of 1410 great mana potions...
08:51:12 Using one of 1410 great mana potions...
08:51:13 You gained 167 mana.
08:51:13 Using one of 1409 great mana potions...
08:51:13 Using one of 1409 great mana potions...
08:51:13 Using one of 1409 great mana potions...
08:51:14 You gained 215 mana.
08:51:14 Using one of 1408 great mana potions...
08:51:14 Using one of 1408 great mana potions...
08:51:14 Using one of 1408 great mana potions...
08:51:15 You gained 234 mana.
08:51:15 Using one of 1407 great mana potions...
08:51:15 Using one of 1407 great mana potions...
08:51:15 Using one of 1407 great mana potions...
08:51:16 You gained 202 mana.
08:51:16 Using one of 1406 great mana potions...
08:51:16 Using one of 1406 great mana potions...
08:51:17 You gained 215 mana.
08:51:17 Using one of 1405 great mana potions...
08:51:17 Using one of 1405 great mana potions...
08:51:18 You gained 248 mana.
08:51:19 Murcion loses 700 hitpoints due to your attack. 
08:51:19 You gained 109 mana.
08:51:19 Murcion loses 1417 hitpoints due to your attack. 
08:51:19 You gained 221 mana.
08:51:20 You lose 220 hitpoints due to an attack by Murcion. 
08:51:20 You lose 898 hitpoints due to an attack by Murcion. 
08:51:20 Momentum was triggered.
08:51:21 You lose 1337 hitpoints due to an attack by a Mushroom. 
08:51:22 Murcion loses 530 hitpoints due to your attack. 
08:51:22 You were healed for 262 hitpoints.
08:51:22 You gained 83 mana.
08:51:22 You lose 2358 hitpoints due to an attack by Murcion. 
08:51:24 Murcion loses 444 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:24 You were healed for 220 hitpoints.
08:51:24 You gained 70 mana.
08:51:24 Murcion loses 735 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:24 You were healed for 363 hitpoints.
08:51:24 You gained 115 mana.
08:51:24 You lose 731 hitpoints due to an attack by Murcion. 
08:51:24 You lose 606 mana due to an attack by Murcion. 
08:51:24 You lose 911 hitpoints due to an attack by Murcion. 
08:51:26 Murcion loses 734 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:26 You were healed for 362 hitpoints.
08:51:26 You gained 115 mana.
08:51:26 Murcion loses 1462 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:26 You were healed for 721 hitpoints.
08:51:26 You gained 228 mana.
08:51:26 You lose 1096 hitpoints due to an attack by Murcion. 
08:51:28 Murcion loses 1120 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:51:28 You were healed for 543 hitpoints.
08:51:28 You gained 171 mana.
08:51:28 Murcion loses 679 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:28 You were healed for 335 hitpoints.
08:51:28 You gained 106 mana.
08:51:30 You were healed by Burkzin for 1869 hitpoints.
08:51:31 Murcion loses 725 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:31 You were healed for 358 hitpoints.
08:51:31 You gained 113 mana.
08:51:31 You lose 806 hitpoints due to an attack by Murcion. 
08:51:31 You lose 837 mana due to an attack by Murcion. 
08:51:31 Murcion loses 913 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:51:31 You were healed for 451 hitpoints.
08:51:31 You gained 142 mana.
08:51:31 You were healed by Burkzin for 2466 hitpoints.
08:51:33 You lose 165 hitpoints due to an attack by Murcion. 
08:51:33 You lose 444 mana due to an attack by Murcion. 
08:51:33 Murcion loses 827 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:33 You were healed for 378 hitpoints.
08:51:33 You gained 120 mana.
08:51:33 Murcion loses 1658 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:33 You were healed for 170 hitpoints.
08:51:33 You gained 239 mana.
08:51:33 You lose 1585 hitpoints due to an attack by Murcion. 
08:51:33 You were healed by Burkzin for 1585 hitpoints.
08:51:35 Murcion loses 833 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:51:35 You gained 127 mana.
08:51:35 Murcion loses 681 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:35 You gained 106 mana.
08:51:37 Murcion loses 2769 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:51:37 You gained 431 mana.
08:51:37 Murcion loses 504 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:37 You gained 79 mana.
08:51:39 You lose 1765 hitpoints due to an attack by Murcion. 
08:51:39 You were healed by Burkzin for 1765 hitpoints.
08:51:39 Murcion loses 822 hitpoints due to your critical attack. 
08:51:39 You gained 128 mana.
08:51:40 Murcion loses 822 hitpoints due to your critical attack. 
08:51:40 You gained 128 mana.
08:51:41 You lose 191 hitpoints due to an attack by Murcion. 
08:51:41 You lose 793 mana due to an attack by Murcion. 
08:51:42 Murcion loses 295 hitpoints due to your attack. 
08:51:42 You were healed for 146 hitpoints.
08:51:42 You gained 46 mana.
08:51:42 Murcion loses 647 hitpoints due to your attack. 
08:51:42 You were healed for 45 hitpoints.
08:51:42 You gained 41 mana.
08:51:44 Murcion loses 379 hitpoints due to your attack. (perfect shot)
08:51:44 You gained 56 mana.
08:51:44 Murcion loses 467 hitpoints due to your attack. 
08:51:44 You gained 73 mana.
08:51:46 You lose 177 hitpoints due to an attack by Murcion. 
08:51:46 Murcion loses 874 hitpoints due to your attack. (perfect shot)
08:51:46 You were healed for 177 hitpoints.
08:51:46 You gained 133 mana.
08:51:46 Murcion loses 1337 hitpoints due to your attack. 
08:51:46 You gained 208 mana.
08:51:48 You lose 289 hitpoints due to an attack by Murcion. 
08:51:48 Murcion loses 1261 hitpoints due to your attack. 
08:51:48 You were healed for 289 hitpoints.
08:51:48 You gained 196 mana.
08:51:49 Murcion loses 715 hitpoints due to your attack. 
08:51:49 You gained 62 mana.
08:51:49 You lose 737 hitpoints due to an attack by Murcion. 
08:51:51 Murcion loses 1356 hitpoints due to your attack. 
08:51:51 You were healed for 669 hitpoints.
08:51:51 You gained 211 mana.
08:51:51 You lose 518 hitpoints due to an attack by Murcion. 
08:51:51 Murcion loses 487 hitpoints due to your attack. 
08:51:51 You were healed for 241 hitpoints.
08:51:51 You gained 76 mana.
08:51:51 You were healed by Burkzin for 345 hitpoints.
08:51:52 You lose 1284 hitpoints due to an attack by a Mushroom. 
08:51:52 You were healed by Burkzin for 1278 hitpoints.
08:51:53 Murcion loses 960 hitpoints due to your attack. (perfect shot)
08:51:53 You gained 147 mana.
08:51:53 Murcion loses 1303 hitpoints due to your attack. 
08:51:53 You gained 203 mana.
08:51:55 Murcion loses 722 hitpoints due to your attack. (perfect shot)
08:51:55 You gained 110 mana.
08:51:55 Murcion loses 694 hitpoints due to your attack. 
08:51:55 You gained 108 mana.
08:51:57 You lose 1661 hitpoints due to an attack by Murcion. 
08:51:57 Murcion loses 2084 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:51:57 You were healed for 1028 hitpoints.
08:51:57 You gained 324 mana.
08:51:58 Murcion loses 551 hitpoints due to your attack. (increased damage by Expose Weakness)
08:51:58 You were healed for 272 hitpoints.
08:51:58 You gained 86 mana.
08:51:59 You lose 652 hitpoints due to an attack by Murcion. 
08:51:59 You were healed by Burkzin for 1013 hitpoints.
08:52:00 Murcion loses 1319 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:00 You gained 205 mana.
08:52:00 Murcion loses 530 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:00 You gained 83 mana.
08:52:02 You lose 2916 hitpoints due to an attack by Murcion. 
08:52:02 You were healed by Burkzin for 2573 hitpoints.
08:52:02 Murcion loses 1026 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:02 You were healed for 343 hitpoints.
08:52:02 You gained 160 mana.
08:52:02 Murcion loses 767 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:02 You gained 48 mana.
08:52:04 You lose 643 hitpoints due to an attack by Murcion. 
08:52:04 You lose 496 mana due to an attack by Murcion. 
08:52:04 Murcion loses 1360 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:04 You were healed for 643 hitpoints.
08:52:04 You gained 212 mana.
08:52:04 Murcion loses 2649 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:52:04 You gained 412 mana.
08:52:05 You lose 1002 hitpoints due to an attack by Murcion. 
08:52:06 Murcion loses 644 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:06 You were healed for 308 hitpoints.
08:52:06 You gained 97 mana.
08:52:07 Murcion loses 730 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:07 You were healed for 360 hitpoints.
08:52:07 You gained 114 mana.
08:52:07 You lose 634 hitpoints due to an attack by Murcion. 
08:52:07 You lose 762 mana due to an attack by Murcion. 
08:52:08 You were healed by Burkzin for 962 hitpoints.
08:52:09 Murcion loses 1563 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:09 You gained 243 mana.
08:52:09 Murcion loses 497 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:09 You gained 78 mana.
08:52:09 You lose 1280 hitpoints due to an attack by Murcion. 
08:52:11 Murcion loses 2659 hitpoints due to your critical attack. (perfect shot, increased damage by Expose Weakness)
08:52:11 You were healed for 1280 hitpoints.
08:52:11 You gained 411 mana.
08:52:11 Murcion loses 1527 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:11 You gained 238 mana.
08:52:13 You lose 1371 hitpoints due to an attack by a Mushroom. 
08:52:13 You were healed by Burkzin for 1371 hitpoints.
08:52:13 Murcion loses 1310 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:13 You gained 204 mana.
08:52:13 Murcion loses 770 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:13 You gained 120 mana.
08:52:13 You lose 1072 hitpoints due to an attack by Murcion. 
08:52:14 Momentum was triggered.
08:52:15 You were healed by Burkzin for 1072 hitpoints.
08:52:15 You lose 803 hitpoints due to an attack by Murcion. 
08:52:15 You lose 196 hitpoints due to an attack by Murcion. 
08:52:15 You lose 291 mana due to an attack by Murcion. 
08:52:15 Murcion loses 1086 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:15 You were healed for 536 hitpoints.
08:52:15 You gained 169 mana.
08:52:16 Murcion loses 1600 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:16 You were healed for 463 hitpoints.
08:52:16 You gained 249 mana.
08:52:18 You lose 153 hitpoints due to an attack by Murcion. 
08:52:18 Murcion loses 744 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:18 You were healed for 153 hitpoints.
08:52:18 You gained 113 mana.
08:52:18 Murcion loses 752 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:18 You gained 47 mana.
08:52:19 You lose 1364 hitpoints due to an attack by Murcion. 
08:52:19 You were healed by Burkzin for 1364 hitpoints.
08:52:20 Murcion loses 722 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:20 You gained 113 mana.
08:52:20 Murcion loses 538 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:20 You gained 84 mana.
08:52:22 Murcion loses 928 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:22 You gained 142 mana.
08:52:22 Murcion loses 1595 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:22 You gained 248 mana.
08:52:24 Murcion loses 800 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:24 You gained 125 mana.
08:52:25 Murcion loses 671 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:25 You gained 105 mana.
08:52:27 Murcion loses 2792 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:52:27 You gained 434 mana.
08:52:27 Murcion loses 537 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:27 You gained 84 mana.
08:52:27 You lose 1020 hitpoints due to an attack by Murcion. 
08:52:28 You were healed by Burkzin for 1014 hitpoints.
08:52:29 Murcion loses 766 hitpoints due to your attack. (perfect shot)
08:52:29 You gained 116 mana.
08:52:29 Murcion loses 1369 hitpoints due to your attack. 
08:52:29 You gained 213 mana.
08:52:29 You lose 478 hitpoints due to an attack by Murcion. 
08:52:30 You were healed by Burkzin for 478 hitpoints.
08:52:31 You lose 1328 hitpoints due to an attack by a Mushroom. 
08:52:31 Murcion loses 3010 hitpoints due to your critical attack. (perfect shot, increased damage by Expose Weakness)
08:52:31 You were healed for 1328 hitpoints.
08:52:31 You gained 465 mana.
08:52:31 Murcion loses 544 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:31 You gained 85 mana.
08:52:32 You lose 548 hitpoints due to an attack by Murcion. 
08:52:32 You lose 3401 hitpoints due to an attack by Murcion. 
08:52:33 Murcion loses 804 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:33 You were healed for 397 hitpoints.
08:52:33 You gained 125 mana.
08:52:33 Murcion loses 767 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:33 You were healed for 379 hitpoints.
08:52:33 You gained 120 mana.
08:52:34 You were healed by Burkzin for 2602 hitpoints.
08:52:35 Murcion loses 613 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:35 You were healed for 303 hitpoints.
08:52:35 You gained 96 mana.
08:52:35 Murcion loses 1484 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:35 You were healed for 268 hitpoints.
08:52:35 You gained 231 mana.
08:52:35 You lose 667 hitpoints due to an attack by Murcion. 
08:52:36 You were healed by Burkzin for 667 hitpoints.
08:52:37 Murcion loses 989 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:37 You gained 151 mana.
08:52:38 You lose 480 mana due to an attack by Murcion. 
08:52:38 Murcion loses 843 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:52:38 You gained 132 mana.
08:52:40 Murcion loses 1274 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:40 You gained 198 mana.
08:52:40 Murcion loses 673 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:40 You gained 105 mana.
08:52:40 You lose 682 hitpoints due to an attack by Murcion. 
08:52:40 You lose 1039 hitpoints due to an attack by Murcion. 
08:52:42 Momentum was triggered.
08:52:42 Murcion loses 2659 hitpoints due to your critical attack. (perfect shot, increased damage by Expose Weakness)
08:52:42 You were healed for 1301 hitpoints.
08:52:42 You gained 411 mana.
08:52:42 You lose 740 hitpoints due to an attack by Murcion. 
08:52:42 You lose 697 mana due to an attack by Murcion. 
08:52:42 Murcion loses 1543 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:42 You were healed for 761 hitpoints.
08:52:42 You gained 240 mana.
08:52:42 You were healed by Burkzin for 399 hitpoints.
08:52:42 You lose 2344 hitpoints due to your own attack. 
08:52:44 You lose 1336 hitpoints due to an attack by a Mushroom. 
08:52:44 You were healed by Burkzin for 2645 hitpoints.
08:52:44 You lose 530 hitpoints due to an attack by Murcion. 
08:52:44 You lose 796 hitpoints due to an attack by Murcion. 
08:52:44 Murcion loses 1410 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:44 You were healed for 695 hitpoints.
08:52:44 You gained 220 mana.
08:52:45 You lose 1211 hitpoints due to an attack by a Mushroom. 
08:52:45 You lose 1339 hitpoints due to an attack by a Mushroom. 
08:52:45 Murcion loses 695 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:45 You were healed for 189 hitpoints.
08:52:45 You gained 60 mana.
08:52:45 You were healed by Burkzin for 2494 hitpoints.
08:52:46 You lose 568 hitpoints due to an attack by Murcion. 
08:52:46 You lose 606 mana due to an attack by Murcion. 
08:52:47 Murcion loses 957 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:47 You were healed for 472 hitpoints.
08:52:47 You gained 149 mana.
08:52:47 Murcion loses 525 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:47 You were healed for 259 hitpoints.
08:52:47 You gained 82 mana.
08:52:47 You were healed by Burkzin for 1364 hitpoints.
08:52:48 You lose 1470 hitpoints due to an attack by Murcion. 
08:52:49 Murcion loses 996 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:49 You were healed for 482 hitpoints.
08:52:49 You gained 152 mana.
08:52:49 Murcion loses 1589 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:49 You were healed for 784 hitpoints.
08:52:49 You gained 247 mana.
08:52:50 You lose 682 hitpoints due to an attack by Murcion. 
08:52:51 Murcion loses 701 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:51 You were healed for 346 hitpoints.
08:52:51 You gained 109 mana.
08:52:51 Murcion loses 1268 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:52:51 You were healed for 540 hitpoints.
08:52:51 You gained 198 mana.
08:52:51 You lose 757 hitpoints due to an attack by Murcion. 
08:52:53 Murcion loses 1613 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:53 You were healed for 751 hitpoints.
08:52:53 You gained 248 mana.
08:52:53 Murcion loses 547 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:53 You gained 86 mana.
08:52:54 Momentum was triggered.
08:52:54 You lose 345 hitpoints due to an attack by Murcion. 
08:52:55 Murcion loses 1070 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:52:55 You were healed for 345 hitpoints.
08:52:55 You gained 164 mana.
08:52:56 Murcion loses 1461 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:56 You gained 228 mana.
08:52:57 You lose 517 mana due to an attack by Murcion. 
08:52:58 Murcion loses 900 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:58 You gained 140 mana.
08:52:58 Murcion loses 710 hitpoints due to your attack. (increased damage by Expose Weakness)
08:52:58 You gained 111 mana.
08:52:58 You lose 1543 hitpoints due to an attack by Murcion. 
08:53:00 Murcion loses 1079 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:00 You were healed for 523 hitpoints.
08:53:00 You gained 165 mana.
08:53:00 Murcion loses 491 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:00 You were healed for 243 hitpoints.
08:53:00 You gained 77 mana.
08:53:00 You lose 325 hitpoints due to an attack by Murcion. 
08:53:01 You were healed by Burkzin for 1096 hitpoints.
08:53:02 Murcion loses 817 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:02 You gained 128 mana.
08:53:02 Murcion loses 1520 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:02 You gained 237 mana.
08:53:04 Murcion loses 2148 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:04 You gained 334 mana.
08:53:04 Murcion loses 690 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:04 You gained 108 mana.
08:53:05 You lose 200 hitpoints due to an attack by Murcion. 
08:53:06 Murcion loses 791 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:06 You were healed for 200 hitpoints.
08:53:06 You gained 123 mana.
08:53:07 Murcion loses 860 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:07 You gained 134 mana.
08:53:08 You lose 504 hitpoints due to an attack by Murcion. 
08:53:09 Murcion loses 1090 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:09 You were healed for 498 hitpoints.
08:53:09 You gained 167 mana.
08:53:09 Murcion loses 1480 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:09 You gained 230 mana.
08:53:10 You lose 590 mana due to an attack by Murcion. 
08:53:11 You lose 995 hitpoints due to an attack by Murcion. 
08:53:11 You were healed by Burkzin for 995 hitpoints.
08:53:11 Murcion loses 691 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:11 You gained 105 mana.
08:53:11 Murcion loses 719 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:11 You gained 112 mana.
08:53:13 Murcion loses 847 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:13 You gained 129 mana.
08:53:13 Murcion loses 913 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:13 You gained 142 mana.
08:53:13 You lose 658 hitpoints due to an attack by Murcion. 
08:53:15 Murcion loses 2733 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:15 You were healed for 658 hitpoints.
08:53:15 You gained 425 mana.
08:53:15 Murcion loses 1961 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:15 You gained 305 mana.
08:53:16 You lose 1310 hitpoints due to an attack by a Mushroom. 
08:53:16 You lose 319 hitpoints due to an attack by Murcion. 
08:53:17 You were healed by Burkzin for 1623 hitpoints.
08:53:18 Murcion loses 1041 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:18 You gained 159 mana.
08:53:18 Murcion loses 730 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:18 You gained 114 mana.
08:53:19 You lose 418 hitpoints due to an attack by Murcion. 
08:53:19 You were healed by Burkzin for 418 hitpoints.
08:53:20 Murcion loses 1078 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:20 You gained 168 mana.
08:53:20 Murcion loses 534 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:20 You gained 84 mana.
08:53:21 You dodged an attack. (Ruse)
08:53:22 Momentum was triggered.
08:53:22 Murcion loses 797 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:22 You gained 121 mana.
08:53:22 Murcion loses 1545 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:22 You gained 240 mana.
08:53:23 You lose 1223 hitpoints due to an attack by a Mushroom. 
08:53:24 You lose 716 hitpoints due to an attack by Murcion. 
08:53:24 Murcion loses 1193 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:24 You were healed for 579 hitpoints.
08:53:24 You gained 183 mana.
08:53:24 Murcion loses 736 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:24 You were healed for 363 hitpoints.
08:53:24 You gained 115 mana.
08:53:25 You were healed by Burkzin for 991 hitpoints.
08:53:26 Momentum was triggered.
08:53:26 You lose 723 hitpoints due to an attack by Murcion. 
08:53:26 You lose 927 mana due to an attack by Murcion. 
08:53:26 Murcion loses 843 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:26 You were healed for 416 hitpoints.
08:53:26 You gained 132 mana.
08:53:26 Murcion loses 494 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:26 You were healed for 244 hitpoints.
08:53:26 You gained 77 mana.
08:53:27 You lose 1376 hitpoints due to an attack by a Mushroom. 
08:53:27 You lose 1274 hitpoints due to an attack by a Mushroom. 
08:53:27 You lose 1267 hitpoints due to an attack by a Mushroom. 
08:53:28 You were healed by Burkzin for 1921 hitpoints.
08:53:28 You lose 798 hitpoints due to an attack by Murcion. 
08:53:28 You lose 194 hitpoints due to an attack by Murcion. 
08:53:28 Murcion loses 775 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:28 You were healed for 355 hitpoints.
08:53:28 You gained 112 mana.
08:53:28 Murcion loses 1621 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:28 You were healed for 740 hitpoints.
08:53:28 You gained 234 mana.
08:53:30 Murcion loses 729 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:30 You were healed for 360 hitpoints.
08:53:30 You gained 114 mana.
08:53:31 Murcion loses 750 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:31 You were healed for 204 hitpoints.
08:53:31 You gained 65 mana.
08:53:32 Momentum was triggered.
08:53:33 Murcion loses 780 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:33 You were healed for 385 hitpoints.
08:53:33 You gained 122 mana.
08:53:33 Murcion loses 2545 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:33 You were healed for 995 hitpoints.
08:53:33 You gained 396 mana.
08:53:34 You lose 1349 hitpoints due to an attack by a Mushroom. 
08:53:35 Murcion loses 907 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:35 You were healed for 448 hitpoints.
08:53:35 You gained 141 mana.
08:53:35 Murcion loses 713 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:35 You were healed for 352 hitpoints.
08:53:35 You gained 111 mana.
08:53:35 You lose 415 hitpoints due to an attack by Murcion. 
08:53:36 You lose 772 hitpoints due to an attack by Murcion. 
08:53:37 You were healed by Burkzin for 1730 hitpoints.
08:53:37 Murcion loses 1223 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:37 You gained 187 mana.
08:53:37 Murcion loses 533 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:37 You gained 83 mana.
08:53:38 You lose 660 hitpoints due to an attack by Murcion. 
08:53:39 Murcion loses 1316 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:39 You were healed for 649 hitpoints.
08:53:39 You gained 205 mana.
08:53:39 Murcion loses 1557 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:39 You were healed for 11 hitpoints.
08:53:39 You gained 242 mana.
08:53:39 You lose 1552 hitpoints due to an attack by Murcion. 
08:53:40 You were healed by Burkzin for 1546 hitpoints.
08:53:41 Murcion loses 2733 hitpoints due to your critical attack. (perfect shot, increased damage by Expose Weakness)
08:53:41 You gained 422 mana.
08:53:41 Murcion loses 710 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:41 You gained 111 mana.
08:53:43 Murcion loses 780 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:43 You gained 122 mana.
08:53:44 You lose 802 hitpoints due to an attack by Murcion. 
08:53:44 You lose 309 hitpoints due to an attack by Murcion. 
08:53:44 Murcion loses 851 hitpoints due to your critical attack. (increased damage by Expose Weakness)
08:53:44 You were healed for 420 hitpoints.
08:53:44 You gained 133 mana.
08:53:44 You were healed by Burkzin for 685 hitpoints.
08:53:46 You lose 3352 hitpoints due to an attack by Murcion. 
08:53:46 Murcion loses 1726 hitpoints due to your attack. (perfect shot, increased damage by Expose Weakness)
08:53:46 You were healed for 841 hitpoints.
08:53:46 You gained 266 mana.
08:53:46 Murcion loses 1568 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:46 You were healed for 773 hitpoints.
08:53:46 You gained 244 mana.
08:53:46 You were healed by Burkzin for 1738 hitpoints.
08:53:48 You lose 1193 hitpoints due to an attack by a Mushroom. 
08:53:48 You lose 670 hitpoints due to an attack by Murcion. 
08:53:48 You lose 2864 hitpoints due to an attack by Murcion. 
08:53:50 Murcion loses 1091 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:50 You were healed for 538 hitpoints.
08:53:50 You gained 170 mana.
08:53:50 You lose 478 mana due to an attack by Murcion. 
08:53:50 Murcion loses 679 hitpoints due to your attack. (increased damage by Expose Weakness)
08:53:50 You were healed for 94 hitpoints.
